,actividad,is_apellido1,is_apellido2,is_celular,is_direccion,is_fnac,is_nombre,is_nombrecompleto,is_nrofam,is_presencial,is_profesion,is_recontacto,is_remoto,is_telefono,loc_comuna,loc_provincia,loc_region,medio_inicial,sexo
1263,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1264,empleado,True,True,True,True,False,True,True,True,False,False,False,False,True,concepcion,concepcion,bio-bio,letreros,masculino
1265,empleado,True,False,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,finco,femenino
1266,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,san pedro de la paz,concepcion,bio-bio,recorrido por el sector,masculino
1267,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,femenino
1268,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1271,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1272,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1273,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,otro,otro,otro,internet,masculino
1274,profesional,True,True,True,True,True,True,True,False,False,True,False,False,False,otro,otro,otro,recontacto,femenino
1275,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,otro,otro,otro,recorrido por el sector,masculino
1276,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,san pedro de la paz,concepcion,bio-bio,letreros,femenino
1277,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,hualpen,concepcion,bio-bio,internet,masculino
1278,tecnico,True,True,True,True,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1279,empleado,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1281,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recontacto,masculino
1282,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,recontacto,masculino
1283,empleado,True,False,True,False,False,True,True,True,False,False,False,False,False,otro,otro,bio-bio,recorrido por el sector,masculino
1284,independiente (no profesional),True,True,True,True,False,True,True,True,False,True,False,False,False,providencia,santiago,metropolitana,referidos,femenino
1285,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,letreros,masculino
1288,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,san pedro de la paz,concepcion,bio-bio,referidos,masculino
1290,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,referidos,masculino
1291,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,talcahuano,concepcion,bio-bio,referidos,femenino
1293,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1294,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,referidos,femenino
1295,sin informacion,True,True,True,True,False,True,True,False,False,False,False,False,True,san pedro de la paz,concepcion,bio-bio,recorrido por el sector,masculino
1296,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,san pedro de la paz,concepcion,bio-bio,finco,femenino
1297,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,otro,otro,bio-bio,recorrido por el sector,masculino
1298,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1300,independiente (no profesional),True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,finco,masculino
1301,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,finco,masculino
1302,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,internet,femenino
1303,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,santiago,santiago,metropolitana,finco,masculino
1304,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1307,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1308,empleado,True,True,True,True,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1309,empleado,True,True,True,True,True,True,True,False,False,True,False,False,True,hualpen,concepcion,bio-bio,internet,masculino
1310,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,san pedro de la paz,concepcion,bio-bio,recorrido por el sector,femenino
1312,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,hualpen,concepcion,bio-bio,internet,masculino
1313,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,talcahuano,concepcion,bio-bio,recorrido por el sector,femenino
1314,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1315,sin informacion,True,True,True,True,False,True,True,False,False,False,False,False,True,san pedro de la paz,concepcion,bio-bio,internet,femenino
1316,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1317,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,recontacto,masculino
1319,empleado,True,False,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1321,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recontacto,femenino
1322,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1323,sin informacion,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1325,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1328,empleado,True,False,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,femenino
1330,sin informacion,True,True,True,True,False,True,True,False,False,False,False,False,True,concepcion,concepcion,bio-bio,internet,femenino
1331,profesional,True,True,True,True,False,True,True,True,False,True,False,False,False,otro,otro,bio-bio,internet,masculino
1332,empleado,True,True,True,True,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,referidos,masculino
1334,independiente (no profesional),True,True,True,False,False,True,True,False,False,False,False,False,False,otro,otro,bio-bio,internet,masculino
1335,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,san pedro de la paz,concepcion,bio-bio,referidos,masculino
1336,independiente (no profesional),True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1338,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1340,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,otro,otro,bio-bio,referidos,femenino
1342,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1345,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1346,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,san pedro de la paz,concepcion,bio-bio,recorrido por el sector,masculino
1347,independiente (no profesional),True,True,True,False,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,letreros,masculino
1349,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,femenino
1350,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1351,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,san pedro de la paz,concepcion,bio-bio,recorrido por el sector,masculino
1352,sin informacion,True,True,True,True,True,True,True,False,False,True,False,False,True,san pedro de la paz,concepcion,bio-bio,recontacto,masculino
1353,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1354,profesional,True,True,True,True,False,True,True,False,False,True,False,False,False,san pedro de la paz,concepcion,bio-bio,recontacto,masculino
1355,empleado,True,True,True,True,True,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1356,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1357,empleado,True,True,True,False,False,True,True,False,False,False,False,False,True,concepcion,concepcion,bio-bio,internet,masculino
1358,empleado,True,False,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1359,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1360,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1361,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1363,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,referidos,masculino
1365,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,finco,femenino
1367,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,la florida,santiago,metropolitana,recorrido por el sector,masculino
1368,profesional,True,True,True,False,False,True,True,False,False,True,False,False,True,concepcion,concepcion,bio-bio,internet,masculino
1369,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1370,empleado,True,True,True,True,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1372,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1374,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1376,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,otro,otro,otro,internet,femenino
1377,profesional,True,True,True,True,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1378,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,san pedro de la paz,concepcion,bio-bio,recorrido por el sector,masculino
